,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
237,ASUS R9 295X2,8 GB DDR5,1450,CLAYMOREV9.6 DEFAULT CLOCK SPEED 1018GPU1250MEM,WINDOWS 10 x64,500 W,"Jan, 2017.",['ASUS R9 295X2']
238,POWERCOLOR DEVIL 13 16GB DUAL CORE RADEON R9 390 AXR9 (8GB PER CORE),16 GB DDR5,1450,WOLF-XMR-MINER-MASTER,UBUNTU 16.04 x64,N/A,"Feb, 2017.",['POWERCOLOR DEVIL 13 16GB DUAL CORE RADEON R9 390 AXR9 (8GB PER CORE)']
239,MSI VEGA 56,8 GB HBM2 MEMORY,1450,"CLAYMORE CRYPTONOTE AMD GPU MINER V10.2 BETA, STOCK BIOS, AMD 17.30.1029 DRIVERS, GPU 1510MHZ, MEM 965MHZ",WINDOWS 10 x64,N/A,"Nov, 2017.",['MSI VEGA 56']
240,2X RX570 (POWERCOLOR RED DEVIL + MSI ARMOR),4 GB DDR5,1450,CLAYMORE CRYPTONIGHT,WINDOWS 10 x64,100 W,"Jan, 2018.","['2X RX570 (POWERCOLOR RED DEVIL', 'MSI ARMOR)']"
241,2X ASUS DUAL RX 580 O8G,8 GB DDR5,1440,"ClaymoreCryptoNote with opt :  -cclock 1100,1100 -cvddc 836,836 -mcloc",WINDOWS 10 x64,135 W,"Jul, 2017.",['2X ASUS DUAL RX 580 O8G']
242,2X MSI RX 570 ARMOR (MOD BIOS),4 GB DDR3,1440,XMR-STAK-AMD,WINDOWS 10 x64,85 W,"Sep, 2017.",['2X MSI RX 570 ARMOR (MOD BIOS)']
243,2X SAPPHIRE RADEON RX 570 4GB NITRO+,4 GB DDR5,1430,AMD XMR MINER V0.60B. BIOS MOD. -40% POWER LIMIT,WINDOWS 10 x64,172 W,"Oct, 2017.",['2X SAPPHIRE RADEON RX 570 4GB NITRO+']
244,AMD RX 580X 2,8 GB DDR5,1402,"XMR-STAK-AMD (1024/16, bios tweaked, mem@2250 gpu@1240)",WINDOWS 10 x64,340 W,"Sep, 2017.",['AMD RX 580X 2']
245,2X RADEON R9 290 VAPORX,4 GB DDR3,1400,SGMINER,ETHOS 1.2.0,N/A,"Aug, 2017.",['2X RADEON R9 290 VAPORX']
246,XFX R9 295X2,8 GB DDR5,1400,XMR STAK,WINDOWS 10 x64,500 W,"Dec, 2017.",['XFX R9 295X2']
247,2X SAPPHIRE RADEON RX 580 4GB PULSE,4 GB DDR5,1396,AMD XMR MINER V0.58B. BIOS MOD,WINDOWS 10 x64,180 W,"Oct, 2017.",['2X SAPPHIRE RADEON RX 580 4GB PULSE']
